place,latitude,longitude,district,accidents,landslide,avalanche,flood,earthquake_damage,hospital,police,fire_station,emergency_risk,natural_disaster_risk,tourism_risk_index,risk_category,data_quality_score
Yala Peak Route,28.22,85.55,Rasuwa,15.0,19.0,14.0,0.0,10.0,0,0,0,100.0,95.0,96.0,High,100.0
Yarsa Village,28.2,85.35,Rasuwa,8.0,12.0,5.0,3.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Jaljala Area,28.8,82.5,Rolpa,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Jaljala Hill Rolpa,28.8,82.5,Rolpa,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Jaljala Mountain,28.8,82.5,Rolpa,8.0,17.0,14.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Jaljala Mountain Rolpa,28.35,82.6,Rolpa,7.0,15.0,8.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Jaljala Mountain View,28.6,82.6,Rolpa,13.0,17.0,10.0,2.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Jaljala Rolpa,28.38,82.65,Rolpa,4.0,10.0,2.0,3.0,7.0,0,1,0,90.0,80.0,86.0,High,100.0
Jaljala Rolpa Camp,28.6,82.6,Rolpa,13.0,17.0,10.0,1.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Jaljala Rolpa Trail,28.4,82.65,Rolpa,12.0,16.0,8.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Jaljale Lekh Trail,28.4,82.65,Rolpa,10.0,15.0,5.0,3.0,9.0,0,0,0,100.0,85.0,85.0,High,100.0
Kakri Hill,28.6,82.4,Rolpa,5.0,12.0,6.0,3.0,8.0,0,0,0,90.0,85.0,87.0,High,100.0
Libang Bazaar,28.3,82.63,Rolpa,1.0,4.0,0.0,3.0,4.0,5,5,1,45.0,35.0,39.0,Medium,100.0
Lisne Lekh,28.4,82.6,Rolpa,5.0,11.0,4.0,3.0,7.0,1,1,0,90.0,85.0,87.0,High,100.0
Liwang Rolpa,28.3,82.63,Rolpa,2.0,5.0,0.0,4.0,6.0,5,4,1,55.0,55.0,55.0,Medium,100.0
Madi Rolpa Rural Route,28.5,82.7,Rolpa,8.0,12.0,4.0,4.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Rolpa Dhorpatan Link Trail,28.55,82.7,Rolpa,12.0,16.0,7.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Rolpa Guerrilla Trail,28.4,82.65,Rolpa,10.0,15.0,5.0,3.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Rolpa Jaljala,28.42,82.65,Rolpa,10.0,15.0,5.0,3.0,9.0,0,0,0,100.0,85.0,85.0,High,100.0
Rolpa Jaljala Forest,28.65,82.6,Rolpa,10.0,15.0,5.0,3.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Rolpa Jaljala Route,28.35,82.6,Rolpa,6.0,14.0,7.0,3.0,8.0,0,1,0,95.0,90.0,93.0,High,100.0
Rolpa Jaljala Trail,28.6,82.6,Rolpa,13.0,17.0,10.0,2.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Rolpa Jaljala Trek,28.8,82.5,Rolpa,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Rolpa Thabang Trail,28.65,82.7,Rolpa,10.0,15.0,6.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Rolpa Thawang,28.5,82.7,Rolpa,5.0,12.0,5.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Rolpa War Museum Area,28.3,82.64,Rolpa,2.0,6.0,0.0,3.0,5.0,3,3,1,65.0,50.0,56.0,Medium,100.0
Rolpa War Tourism Area,28.3,82.65,Rolpa,3.0,8.0,2.0,4.0,7.0,1,1,0,85.0,75.0,79.0,High,100.0
Runtigadhi Hill,28.3,82.55,Rolpa,4.0,10.0,3.0,3.0,7.0,1,1,0,90.0,80.0,84.0,High,100.0
Runtigadhi Rural Route,28.5,82.6,Rolpa,7.0,12.0,3.0,5.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Runtigadhi Village,28.2,82.75,Rolpa,5.0,10.0,2.0,3.0,7.0,5,5,2,65.0,70.0,70.0,High,100.0
Sulichaur Village Trail,28.55,82.65,Rolpa,5.0,9.0,2.0,5.0,7.0,10,8,3,65.0,70.0,72.0,High,100.0
Thabang Village,28.5,82.7,Rolpa,5.0,12.0,5.0,2.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Thabang Village Camp,28.65,82.7,Rolpa,10.0,15.0,6.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Thabang Village Route,28.65,82.7,Rolpa,10.0,15.0,6.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Thawang Rolpa,28.5,82.7,Rolpa,5.0,12.0,5.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Thawang Village,28.45,82.55,Rolpa,5.0,12.0,3.0,2.0,8.0,0,0,0,100.0,90.0,96.0,High,100.0
Dhorpatan Rukum Route,28.6,82.9,Rukum East,8.0,17.0,14.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Kamal Daha Lake,28.65,82.5,Rukum East,2.0,5.0,0.0,6.0,5.0,3,3,1,60.0,55.0,57.0,Medium,100.0
Maikot Rural Settlement,28.85,82.6,Rukum East,11.0,16.0,7.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Maikot Rural Tourism Area,28.85,82.6,Rukum East,11.0,16.0,7.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Maikot Village Trail,28.85,82.6,Rukum East,11.0,16.0,7.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Putha Himal Area,28.7,82.6,Rukum East,15.0,18.0,10.0,2.0,10.0,0,0,0,100.0,95.0,92.0,High,100.0
Putha Himal Base Camp,28.9,82.8,Rukum East,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Putha Himal Route,28.8,82.65,Rukum East,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Putha Himal Trail,28.8,82.65,Rukum East,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Putha Himal Trek Route,28.9,82.8,Rukum East,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Rukum East Dhorpatan,28.7,83.0,Rukum East,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Rukum East Himal Area,28.7,82.6,Rukum East,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Rukum East Maikot Trail,28.85,82.6,Rukum East,10.0,15.0,6.0,2.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Rukum East Putha,28.7,82.6,Rukum East,15.0,18.0,10.0,2.0,10.0,0,0,0,100.0,95.0,92.0,High,100.0
Rukum East Putha Trail,28.8,82.65,Rukum East,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Rukum East Sisne Himal,28.8,82.5,Rukum East,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Rukum Himalayan Trail,28.8,82.65,Rukum East,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Rukum Sisne Trail,28.7,82.6,Rukum East,15.0,18.0,10.0,2.0,10.0,0,0,0,100.0,95.0,92.0,High,100.0
Rukumkot Heritage Area,28.63,82.62,Rukum East,3.0,7.0,2.0,4.0,7.0,5,4,1,65.0,70.0,68.0,High,100.0
Rukumkot Lake,28.63,82.48,Rukum East,8.0,10.0,5.0,3.0,7.0,5,5,2,70.0,70.0,72.0,High,100.0
Rukumkot Rural Lake,28.65,82.6,Rukum East,10.0,15.0,6.0,3.0,8.0,5,5,2,75.0,80.0,82.0,High,100.0
Rukuni Waterfall,28.65,82.4,Rukum East,3.0,8.0,2.0,5.0,6.0,1,1,0,85.0,75.0,79.0,High,100.0
Sisne Base Camp Route,28.9,82.7,Rukum East,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Sisne Himal Base Area,28.73,82.55,Rukum East,14.0,18.0,12.0,2.0,9.0,0,0,0,100.0,95.0,92.0,High,100.0
Sisne Himal Route,28.7,82.6,Rukum East,18.0,20.0,15.0,1.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Sisne Himal Rukum East,28.7,82.6,Rukum East,9.0,18.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Sisne Himal Trail,28.8,82.5,Rukum East,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Sisne Himal Trek Camp,28.8,82.5,Rukum East,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Sisne Mountain Route,28.9,82.7,Rukum East,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Taksera Mountain Trail,28.7,82.55,Rukum East,8.0,13.0,4.0,4.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Taksera Rural Route,28.7,82.55,Rukum East,8.0,13.0,4.0,4.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Taksera Village Area,28.75,82.55,Rukum East,8.0,12.0,4.0,4.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Chaurjahari Area,28.65,82.2,Rukum West,4.0,8.0,0.0,5.0,6.0,20,20,5,40.0,50.0,55.0,Medium,100.0
Chaurjahari Rural Route,28.6,82.3,Rukum West,5.0,8.0,0.0,12.0,6.0,20,15,5,50.0,60.0,65.0,High,100.0
Chaurjahari Village,28.65,82.4,Rukum West,3.0,5.0,0.0,10.0,5.0,40,30,10,25.0,45.0,50.0,Medium,100.0
Dolpa Rukum Trek,28.9,82.5,Rukum West,7.0,15.0,10.0,3.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Dolpo Link Trail,28.95,82.3,Rukum West,9.0,14.0,5.0,4.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Jaljala Mountain,28.8,82.5,Rukum West,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Jaljala Rukum Trail,28.8,82.5,Rukum West,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Kamal Daha,28.6,82.5,Rukum West,6.0,10.0,3.0,5.0,7.0,5,5,2,65.0,75.0,78.0,High,100.0
Musikot Bazaar,28.63,82.48,Rukum West,3.0,5.0,0.0,5.0,6.0,30,25,10,25.0,45.0,50.0,Medium,100.0
Musikot Khalanga View,28.63,82.48,Rukum West,3.0,5.0,0.0,5.0,6.0,30,25,10,25.0,45.0,50.0,Medium,100.0
Musikot Valley,28.62,82.48,Rukum West,2.0,5.0,0.0,4.0,5.0,8,6,2,50.0,45.0,47.0,Medium,100.0
Musikot View Point,28.63,82.48,Rukum West,3.0,5.0,0.0,5.0,6.0,30,25,10,25.0,45.0,50.0,Medium,100.0
Rukum Guerrilla Trail,28.6,82.5,Rukum West,10.0,15.0,5.0,4.0,8.0,0,0,0,100.0,85.0,88.0,High,100.0
Rukum Musikot,28.62,82.48,Rukum West,2.0,5.0,0.0,4.0,6.0,5,4,1,55.0,55.0,55.0,Medium,100.0
Rukum Syarpu Lake,28.95,82.25,Rukum West,3.0,7.0,2.0,5.0,6.0,2,2,0,75.0,65.0,69.0,High,100.0
Rukum West Aathbiskot Trail,28.95,82.2,Rukum West,8.0,12.0,3.0,10.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Rukum West Dolpo Link,28.95,82.2,Rukum West,9.0,14.0,5.0,5.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Rukum West Mountain Trail,28.6,82.5,Rukum West,14.0,18.0,12.0,2.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Rukum West Sisne Trail,28.7,82.6,Rukum West,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Rukumkot Lake,28.7,82.6,Rukum West,3.0,7.0,2.0,4.0,6.0,2,2,0,75.0,65.0,69.0,High,100.0
Sani Bheri Camp,28.62,82.3,Rukum West,6.0,10.0,3.0,5.0,7.0,5,5,2,65.0,75.0,78.0,High,100.0
Sani Bheri River,28.6,82.7,Rukum West,5.0,4.0,0.0,12.0,4.0,3,3,1,75.0,70.0,73.0,High,100.0
Sani Bheri Riverside,28.62,82.3,Rukum West,5.0,8.0,0.0,10.0,5.0,15,15,5,45.0,60.0,62.0,Medium,100.0
Sani Bheri Route,28.7,82.35,Rukum West,6.0,10.0,3.0,12.0,7.0,10,8,3,65.0,75.0,78.0,High,100.0
Sani Bheri Rural Camp,28.7,82.35,Rukum West,7.0,10.0,2.0,15.0,7.0,5,5,2,70.0,80.0,82.0,High,100.0
Sani Bheri Valley,28.6,82.25,Rukum West,8.0,12.0,3.0,4.0,7.0,5,5,2,70.0,75.0,75.0,High,100.0
Sani Bheri Village Trail,28.7,82.35,Rukum West,6.0,10.0,3.0,12.0,7.0,10,8,3,65.0,75.0,78.0,High,100.0
Sisne Himal,28.7,82.6,Rukum West,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Sisne Himal Base,28.7,82.6,Rukum West,8.0,17.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Sisne Himal Trail,28.7,82.6,Rukum West,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Sisne Himal View,28.7,82.6,Rukum West,8.0,16.0,12.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Sisne View Point,28.85,82.65,Rukum West,6.0,13.0,8.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Syarpu Lake,28.95,82.25,Rukum West,2.0,5.0,0.0,6.0,4.0,5,4,1,55.0,50.0,52.0,Medium,100.0
Syarpu Lake Route,28.95,82.25,Rukum West,3.0,7.0,2.0,5.0,6.0,2,2,0,75.0,65.0,69.0,High,100.0
Syarpu Lake Viewpoint,28.7,82.55,Rukum West,4.0,8.0,2.0,5.0,7.0,2,1,0,75.0,75.0,75.0,High,100.0
Bhairahawa Buddha Sites,27.51,83.45,Rupandehi,0.0,0.0,0.0,3.0,2.0,20,15,5,10.0,15.0,18.0,Low,100.0
Bhairahawa Maya Devi Area,27.5,83.45,Rupandehi,1.0,0.0,0.0,6.0,2.0,40,35,10,10.0,15.0,12.0,Low,100.0
Bhairahawa Siddharthanagar,27.5,83.45,Rupandehi,1.0,0.0,0.0,6.0,2.0,50,40,10,10.0,15.0,12.0,Low,100.0
Bhairahawa Tourism Area,27.5,83.45,Rupandehi,1.0,0.0,0.0,8.0,2.0,40,30,8,15.0,20.0,17.0,Low,100.0
Devdaha Heritage Area,27.62,83.52,Rupandehi,1.0,0.0,0.0,8.0,2.0,20,15,5,25.0,35.0,30.0,Low,100.0
Devdaha Historical Site,27.62,83.55,Rupandehi,1.0,0.0,0.0,8.0,2.0,25,20,5,20.0,25.0,22.0,Low,100.0
Lumbini,27.4698,83.276,Rupandehi,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,0.0,40.0,Medium,100.0
Lumbini Garden,27.4698,83.276,Rupandehi,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,0.0,40.0,Medium,100.0
Lumbini Garden Area,27.4698,83.276,Rupandehi,0.0,0.0,0.0,5.0,2.0,100,90,30,0.0,10.0,15.0,Low,100.0
Lumbini Maya Devi Temple,27.4698,83.276,Rupandehi,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,0.0,40.0,Medium,100.0
Lumbini Museum,27.47,83.28,Rupandehi,0.0,0.0,0.0,1.0,1.0,20,15,5,10.0,8.0,9.0,Low,100.0
Lumbini Peace Area,27.47,83.28,Rupandehi,0.0,0.0,0.0,5.0,2.0,50,40,15,5.0,10.0,8.0,Low,100.0
Lumbini Rural Monastery Area,27.47,83.28,Rupandehi,0.0,0.0,0.0,8.0,0.0,100,90,40,0.0,15.0,20.0,Low,100.0
Lumbini Rural Surrounding Trail,27.47,83.28,Rupandehi,0.0,0.0,0.0,5.0,1.0,100,90,40,0.0,5.0,10.0,Low,100.0
Lumbini Sacred Garden,27.47,83.28,Rupandehi,0.0,0.0,0.0,5.0,3.0,50,40,15,5.0,10.0,8.0,Low,100.0
Maya Devi Temple,27.483,83.276,Rupandehi,0.0,0.0,0.0,2.0,1.0,40,30,8,10.0,10.0,10.0,Low,100.0
Mayadevi Temple,27.47,83.275,Rupandehi,0.0,0.0,0.0,2.0,1.0,25,20,5,5.0,10.0,7.0,Low,100.0
Siddharthanagar Park,27.51,83.45,Rupandehi,0.0,0.0,0.0,5.0,2.0,50,40,12,5.0,10.0,8.0,Low,100.0
Siddharthanagar Rural Route,27.5,83.45,Rupandehi,1.0,2.0,0.0,12.0,2.0,90,80,30,0.0,10.0,15.0,Low,100.0
Kapurkot Viewpoint,28.2,82.55,Salyan,5.0,10.0,4.0,3.0,7.0,2,1,0,85.0,80.0,82.0,High,100.0
Khalanga Salyan,28.37,82.18,Salyan,1.0,4.0,0.0,3.0,4.0,5,5,1,45.0,35.0,39.0,Medium,100.0
Kumakh Lake,28.95,82.2,Salyan,3.0,7.0,0.0,5.0,5.0,1,2,0,80.0,65.0,71.0,High,100.0
Kupinde Lake,28.88,82.1,Salyan,4.0,9.0,1.0,5.0,6.0,1,1,0,85.0,75.0,79.0,High,100.0
Arun River Camp,27.55,87.18,Sankhuwasabha,5.0,2.0,0.0,15.0,3.0,5,4,1,75.0,70.0,73.0,High,100.0
Arun River Corridor,27.4,87.1,Sankhuwasabha,5.0,2.0,0.0,15.0,4.0,3,3,1,80.0,75.0,78.0,High,100.0
Arun River Rafting,27.5,87.18,Sankhuwasabha,7.0,2.0,0.0,15.0,3.0,3,3,1,85.0,70.0,78.0,High,100.0
Arun River Tourism Area,27.55,87.18,Sankhuwasabha,5.0,2.0,0.0,15.0,3.0,5,4,1,75.0,70.0,73.0,High,100.0
Arun River Valley,27.35,87.25,Sankhuwasabha,5.0,12.0,4.0,10.0,7.0,0,1,0,95.0,90.0,93.0,High,100.0
Arun Valley,27.55,87.25,Sankhuwasabha,4.0,10.0,3.0,5.0,6.0,1,1,0,90.0,80.0,84.0,High,100.0
Arun Valley Trail,27.05,87.4,Sankhuwasabha,8.0,12.0,4.0,3.0,7.0,5,5,2,70.0,75.0,78.0,High,100.0
Arun Valley Trek,27.5,87.1,Sankhuwasabha,8.0,17.0,14.0,2.0,9.0,0,0,0,100.0,100.0,100.0,High,100.0
Arun Valley Trek Route,27.45,87.1,Sankhuwasabha,12.0,16.0,8.0,3.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Barun Conservation Area,27.7,87.1,Sankhuwasabha,9.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Barun Glacier,27.65,87.05,Sankhuwasabha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Barun Glacier Area,27.76,87.05,Sankhuwasabha,9.0,18.0,15.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Barun Glacier Camp,27.78,87.05,Sankhuwasabha,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Barun National Park Area,27.75,87.1,Sankhuwasabha,9.0,18.0,14.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Barun River Valley,27.6,87.05,Sankhuwasabha,7.0,15.0,10.0,3.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Barun Valley,27.75,87.15,Sankhuwasabha,7.0,14.0,11.0,2.0,9.0,0,0,0,100.0,95.0,97.0,High,100.0
Barun Valley Rural Camp,27.7,87.15,Sankhuwasabha,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Chainpur Area,27.3,87.25,Sankhuwasabha,3.0,6.0,0.0,5.0,6.0,20,20,5,40.0,55.0,60.0,Medium,100.0
Chainpur Forest Trail,27.28,87.25,Sankhuwasabha,4.0,8.0,0.0,4.0,6.0,20,15,5,45.0,55.0,60.0,Medium,100.0
Chainpur Rural View,27.3,87.2,Sankhuwasabha,3.0,5.0,0.0,7.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Chepuwa Rural Route,27.65,87.1,Sankhuwasabha,10.0,15.0,6.0,2.0,8.0,5,5,2,75.0,80.0,82.0,High,100.0
Gola Village Trail,27.9,87.25,Sankhuwasabha,9.0,14.0,6.0,1.0,8.0,5,5,2,75.0,85.0,88.0,High,100.0
Hatiya Rural Settlement,27.85,87.3,Sankhuwasabha,8.0,13.0,5.0,2.0,8.0,5,5,2,70.0,80.0,82.0,High,100.0
Khadbari Bazaar,27.38,87.2,Sankhuwasabha,1.0,3.0,0.0,5.0,4.0,15,12,3,30.0,35.0,32.0,Low,100.0
Khadbari Market,27.38,87.2,Sankhuwasabha,1.0,3.0,0.0,5.0,4.0,15,12,3,30.0,35.0,32.0,Low,100.0
Khandbari,27.38,87.2,Sankhuwasabha,2.0,5.0,0.0,5.0,5.0,20,15,5,30.0,35.0,32.0,Low,100.0
Khandbari Bazaar,27.38,87.2,Sankhuwasabha,1.0,3.0,0.0,5.0,5.0,20,15,5,25.0,30.0,28.0,Low,100.0
Khandbari Hills,27.38,87.2,Sankhuwasabha,2.0,4.0,0.0,5.0,5.0,40,30,10,15.0,30.0,35.0,Low,100.0
Kimathanka Village,27.95,87.45,Sankhuwasabha,16.0,20.0,15.0,0.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Madi Valley,26.95,87.4,Sankhuwasabha,6.0,9.0,0.0,10.0,6.0,15,10,3,60.0,70.0,72.0,High,100.0
Madi Village Trail,27.4,87.25,Sankhuwasabha,5.0,8.0,2.0,5.0,6.0,20,15,5,50.0,65.0,68.0,High,100.0
Makalu Arun Camp,27.7,87.1,Sankhuwasabha,16.0,20.0,15.0,1.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Makalu Barun Area,27.7,87.1,Sankhuwasabha,9.0,18.0,14.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Barun National Park,27.6,87.0,Sankhuwasabha,8.0,17.0,15.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Barun Park,27.75,87.1,Sankhuwasabha,18.0,20.0,18.0,3.0,10.0,0,0,0,100.0,100.0,97.0,High,100.0
Makalu Barun Valley,27.7,87.1,Sankhuwasabha,18.0,20.0,18.0,1.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Makalu Base Camp,27.75,87.1,Sankhuwasabha,8.0,16.0,14.0,2.0,9.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Base Camp East,27.75,87.1,Sankhuwasabha,9.0,17.0,14.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Base Camp Lower Trail,27.65,87.15,Sankhuwasabha,16.0,20.0,15.0,1.0,10.0,0,0,0,100.0,100.0,98.0,High,100.0
Makalu Base Camp Trail,27.78,87.1,Sankhuwasabha,8.0,17.0,13.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Base Camp West,27.72,87.05,Sankhuwasabha,8.0,17.0,13.0,2.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Base Route,27.78,87.09,Sankhuwasabha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Base Rural Camp,27.79,87.09,Sankhuwasabha,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Makalu Conservation Route,27.6,87.1,Sankhuwasabha,10.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Conservation Trail,27.6,87.05,Sankhuwasabha,9.0,18.0,16.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu Rural Forest Area,27.8,87.05,Sankhuwasabha,18.0,20.0,18.0,0.0,10.0,0,0,0,100.0,100.0,99.0,High,100.0
Makalu View Camp,27.6,87.1,Sankhuwasabha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Makalu View Point,27.55,87.1,Sankhuwasabha,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,95.0,98.0,High,100.0
Num Valley,27.58,87.15,Sankhuwasabha,5.0,12.0,5.0,3.0,8.0,0,1,0,95.0,85.0,89.0,High,100.0
Num Valley Trail,27.58,87.15,Sankhuwasabha,6.0,13.0,8.0,2.0,8.0,0,1,0,95.0,90.0,93.0,High,100.0
Num Village,27.55,87.25,Sankhuwasabha,4.0,8.0,3.0,3.0,6.0,1,1,0,90.0,65.0,75.0,High,100.0
Num Village Route,27.55,87.25,Sankhuwasabha,3.0,8.0,3.0,4.0,6.0,1,1,0,85.0,75.0,79.0,High,100.0
Num Village Trail,27.72,87.15,Sankhuwasabha,12.0,16.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Numche Rural Route,27.76,87.17,Sankhuwasabha,12.0,16.0,8.0,1.0,9.0,0,0,0,100.0,90.0,92.0,High,100.0
Sankhuwasabha Arun River,27.5,87.1,Sankhuwasabha,5.0,2.0,0.0,18.0,3.0,3,3,1,80.0,80.0,80.0,High,100.0
Sankhuwasabha Arun Valley,27.55,87.25,Sankhuwasabha,5.0,12.0,5.0,8.0,7.0,0,1,0,95.0,90.0,93.0,High,100.0
Sankhuwasabha Makalu Village,27.8,87.2,Sankhuwasabha,14.0,18.0,12.0,1.0,9.0,0,0,0,100.0,95.0,95.0,High,100.0
Sankhuwasabha River Camp,27.45,87.2,Sankhuwasabha,5.0,4.0,0.0,14.0,4.0,3,3,1,75.0,70.0,73.0,High,100.0
Seduwa Village,27.6,87.2,Sankhuwasabha,8.0,12.0,5.0,3.0,8.0,5,5,2,70.0,75.0,78.0,High,100.0
Silichong Rural Trail,27.45,87.1,Sankhuwasabha,7.0,15.0,10.0,2.0,9.0,0,0,0,100.0,98.0,99.0,High,100.0
Silichung Base Area,27.7,87.1,Sankhuwasabha,15.0,18.0,15.0,2.0,9.0,0,0,0,100.0,95.0,93.0,High,100.0
Silichung Danda,27.6,87.0,Sankhuwasabha,10.0,20.0,20.0,1.0,10.0,0,0,0,100.0,100.0,100.0,High,100.0
Silichung Peak,27.5,87.05,Sankhuwasabha,8.0,15.0,10.0,2.0,8.0,0,0,0,100.0,95.0,97.0,High,100.0
Silichung Peak Route,27.5,87.05,Sankhuwasabha,8.0,15.0,12.0,2.0,9.0,0,0,0,100.0,100.0,100.0,High,100.0
Tumlingtar Airport,27.3,87.19,Sankhuwasabha,2.0,3.0,0.0,3.0,3.0,5,5,2,45.0,30.0,36.0,Medium,100.0
Tumlingtar Airport Area,27.3,87.19,Sankhuwasabha,2.0,3.0,0.0,5.0,4.0,12,10,3,35.0,35.0,35.0,Medium,100.0
Tumlingtar Area,27.3,87.2,Sankhuwasabha,3.0,4.0,0.0,8.0,5.0,30,25,10,25.0,45.0,48.0,Medium,100.0
Tumlingtar Riverside,27.3,87.2,Sankhuwasabha,3.0,4.0,0.0,10.0,4.0,30,25,10,30.0,50.0,52.0,Medium,100.0
Tumlingtar Rural Area,27.3,87.2,Sankhuwasabha,3.0,5.0,0.0,8.0,5.0,50,40,15,20.0,35.0,40.0,Medium,100.0
Tumlingtar View Point,27.3,87.19,Sankhuwasabha,1.0,3.0,0.0,3.0,3.0,10,8,2,30.0,25.0,27.0,Low,100.0
